time,usage,temperature,frequency
16524,1.4,47,2000
16525,1.4,47,2000
16526,0.0,48,2000
16527,1.4,47,2000
16528,1.4,46,2000
16529,1.4,47,2000
16530,0.0,47,2000
16531,1.4,48,2000
16532,1.4,47,2000
16533,0.0,47,2000
16534,2.7,47,2000
16535,1.4,47,2000
16536,1.4,46,2000
16537,1.4,46,2000
16538,1.4,46,2000
16539,0.0,47,2000
16540,1.4,47,2000
16541,1.4,46,2000
16542,0.0,46,2000
16543,1.4,47,2000
16544,1.4,48,2000
16545,1.4,47,2000
16546,0.0,47,2000
16547,0.0,47,2000
16548,1.4,47,2000
16549,1.4,46,2000
16550,1.4,46,2000
16551,0.0,48,2000
16552,0.0,47,2000
16553,0.0,46,2000
16554,0.0,46,2000
16555,0.0,47,2000
16556,1.4,47,2000
16557,1.4,47,2000
16558,2.7,48,2000
16559,0.0,47,2000
16560,1.4,47,2000
16561,5.9,47,2000
16562,1.4,47,2000
16563,1.4,47,2000
16564,1.4,46,2000
16565,0.0,46,2000
16566,1.4,48,2000
16567,1.4,47,2000
16568,1.4,46,2000
16569,1.4,47,2000
16570,1.4,46,2000
16571,0.0,47,2000
16572,0.0,46,2000
16573,0.0,46,2000
16574,2.7,46,2000
16575,1.4,46,2000
16576,0.0,47,2000
16577,1.4,45,2000
16578,2.7,46,2000
16579,0.0,46,2000
16580,0.0,46,2000
16581,0.0,46,2000
16582,1.4,47,2000
16583,0.0,46,2000
16584,1.4,46,2000
16585,2.8,47,2000
16586,1.4,46,2000
16587,1.4,46,2000
16588,0.0,46,2000
16589,1.4,47,2000
16590,1.4,47,2000
16591,0.0,47,2000
16592,1.4,47,2000
16593,0.0,46,2000
16594,1.4,46,2000
16595,1.4,46,2000
16596,1.4,46,2000
16597,0.0,46,2000
16598,0.0,45,2000
16599,1.4,46,2000
16600,2.8,46,2000
16601,0.0,47,2000
16602,1.4,46,2000
16603,1.4,47,2000
16604,1.4,46,2000
16605,1.4,46,2000
16606,1.3,47,2000
16607,1.4,46,2000
16608,1.4,46,2000
16609,1.4,47,2000
16610,1.4,46,2000
16611,0.0,46,2000
16612,0.0,45,2000
16613,1.4,47,2000
16614,1.4,46,2000
16615,1.4,46,2000
16616,1.4,46,2000
16617,1.4,46,2000
16618,0.0,46,2000
16619,1.4,47,2000
16620,0.0,47,2000
16621,1.4,46,2000
16622,0.0,47,2000
16623,1.4,46,2000
16624,0.0,47,2000
16625,0.0,47,2000
16626,1.4,46,2000
16627,1.4,47,2000
16628,0.0,46,2000
16629,0.0,46,2000
16630,1.4,46,2000
16631,1.4,46,2000
16632,1.4,47,2000
16633,1.4,46,2000
16634,0.0,46,2000
16635,0.0,46,2000
16636,0.0,46,2000
16637,1.4,47,2000
16638,1.4,46,2000
16639,1.4,46,2000
16640,0.0,46,2000
16641,0.0,47,2000
16642,0.0,45,2000
16643,0.0,46,2000
16644,1.4,46,2000
16645,2.7,46,2000
16646,0.0,46,2000
16647,0.0,46,2000
16648,1.4,46,2000
16649,1.4,46,2000
16650,2.8,46,2000
16651,1.4,47,2000
16652,1.4,47,2000
16653,1.4,46,2000
16654,0.0,45,2000
16655,0.0,47,2000
16656,1.4,46,2000
16657,1.4,47,2000
16658,0.0,45,2000
16659,0.0,47,2000
16660,1.4,47,2000
16661,0.0,46,2000
16662,0.0,47,2000
16663,1.4,45,2000
16664,0.0,46,2000
16665,1.4,46,2000
16666,1.4,46,2000
16667,1.4,46,2000
16668,1.4,46,2000
16669,8.1,46,2000
16670,1.4,46,2000
16671,1.4,47,2000
16672,1.4,46,2000
16673,1.4,47,2000
16674,0.0,47,2000
16675,0.0,46,2000
16676,1.4,46,2000
16677,0.0,46,2000
16678,1.4,46,2000
16679,0.0,46,2000
16680,1.4,46,2000
16681,0.0,46,2000
16682,2.7,45,2000
